Company,Role,Location,Type,Salary Range,Job URL,Source,Date Found,Date Applied,Status,Contact Person,Contact LinkedIn,Follow-up Date,Next Step,Notes
,,,,,,,,,,,,,,"=== REALISTIC TARGETS (Entry/Junior Level) ==="
Vendasta,AI Automation Specialist,Saskatoon SK,Onsite,,https://www.vendasta.com/company/careers/,Direct,2026-01-10,,Bookmarked,,,,"BEST BET. Deploy AI automations, client training. Uses LangChain. Not senior-level."
Vendasta,Software Developer,Saskatoon SK,Onsite,,https://www.vendasta.com/company/careers/,Direct,2026-01-10,,Bookmarked,,,,"AI-first platform. Good entry point into the company."
Vosyn,Machine Learning Intern,Remote (Canada),Remote,$32/hr,https://vosyn.ai/careers/,RemoteRocketship,2026-01-10,,Bookmarked,,,,"Paid internship. 520hr minimum. Can convert to full-time. Real AI work."
Vosyn,IT Developer Intern,Remote (Canada),Remote,$32/hr,https://vosyn.ai/careers/,RemoteRocketship,2026-01-10,,Bookmarked,,,,"Python, React, Docker, K8s. Could be stepping stone to ML role."
Alpha Omega,AI Automation Engineer (Entry Level),Remote,Remote,,https://www.indeed.com/q-ai-entry-level-jobs.html,Indeed,2026-01-10,,Bookmarked,,,,"0-2 years exp. LLMs, prompt engineering, LangChain. Internships count as exp!"
Kinaxis,AI/ML Developer,Remote (Canada),Remote,,https://www.glassdoor.ca/Job/junior-ai-engineer-jobs-SRCH_KO0,18.htm,Glassdoor,2026-01-10,,Bookmarked,,,,"End-to-end AI/ML development. Canadian company. Check for junior roles."
Co-Ex-Tec,Junior AI Engineer,Remote,Remote,,https://www.ziprecruiter.com/Jobs/Junior-Ai-Engineer,ZipRecruiter,2026-01-10,,Bookmarked,,,,"Develop, train, deploy AI models. Manufacturing focus. Entry-level."
1280 Labs,Full-stack AI Dev (Contract Trial),Remote (Canada/US),Remote,$5k-8k/mo + equity,https://wellfound.com/jobs/3679566-full-stack-ai-dev-contract-to-founding-engineer,Wellfound,2026-01-10,,Bookmarked,,,,"Contract trial = prove yourself first. Doc ingestion, RAG. Worth a shot."
,,,,,,,,,,,,,,"=== STRETCH GOALS (Apply but don't expect) ==="
Vendasta,Senior Software Developer (AI),Saskatoon SK,Onsite,,https://www.vendasta.com/company/careers/,Direct,2026-01-10,,Bookmarked,,,,"Stretch. Apply anyway - worst case they redirect to junior role."
Elayne,Founding Senior Engineer (AI/ML),New York NY,Remote,$160k-250k,https://www.workatastartup.com/jobs/79665,YC,2026-01-10,,Bookmarked,,,,"Long shot. RAG, agents - your skills match but exp doesn't."
Confido,Founding ML/AI Engineer,Remote,Remote,,https://www.workatastartup.com/jobs/77949,YC,2026-01-10,,Bookmarked,,,,"Long shot. Founding role typically wants proven experience."
,,,,,,,,,,,,,,"=== JOB BOARDS TO CHECK REGULARLY ==="
,,,,,,,,,,,,,,"Glassdoor Canada: 365+ junior AI engineer jobs"
,,,,,,,,,,,,,,"ZipRecruiter: 127 junior AI jobs in Toronto"
,,,,,,,,,,,,,,"Indeed: 310 remote junior AI engineer jobs"
,,,,,,,,,,,,,,"RemoteRocketship: 56 junior AI engineer remote jobs"
,,,,,,,,,,,,,,"Wellfound: Startup AI roles, single profile apply"
,,,,,,,,,,,,,,"=== STATUS OPTIONS ==="
,,,,,,,,,,,,,,"Bookmarked | Applied | Responded | Phone Screen | Technical | Onsite | Offer | Rejected | Withdrew"
